Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
HHH,0.0160671409016448,0.0474213032872575,-0.0313541623856127,0.0313541623856127
HHHH,0.0118547789577673,0.0353272711426164,-0.0234724921848491,0.0234724921848491
HHHHH,0.00912052117263843,0.0267685868743823,-0.01764806570174387,0.01764806570174387
HHHHHH,0.00721494234789058,0.0206740135500567,-0.01345907120216612,0.01345907120216612
HHHHHHH,0.00577956686981357,0.0162613451245054,-0.010481778254691829,0.010481778254691829
FFF,0.00195229226039539,0.0101057033337205,-0.00815341107332511,0.00815341107332511
BBB,0.0423221057828243,0.0358636310837495,0.006458474699074797,0.006458474699074797
CCC,0.0149675739963646,0.021256824253688,-0.006289250257323402,0.006289250257323402
CDC,0.00841505284653187,0.00270066209780462,0.00571439074872725,0.00571439074872725
CBB,0.0142270493458698,0.00876989197351608,0.00545715737235372,0.00545715737235372
BBC,0.0140475282184772,0.00911836450226507,0.00492916371621213,0.00492916371621213
CCB,0.0107263873617126,0.00606922987571146,0.00465715748600114,0.00465715748600114
FFFF,0.000202070095871034,0.00482263734348217,-0.004620567247611136,0.004620567247611136
CCCC,0.0055232492871416,0.0101101072019987,-0.0045868579148570995,0.0045868579148570995
CBC,0.00801113030989834,0.00342664653269833,0.0045844837772000095,0.0045844837772000095
BCD,0.00626079931781971,0.00272970147520037,0.0035310978426193397,0.0035310978426193397
CFC,0.00632811974059197,0.0031652921361366,0.00316282760445537,0.00316282760445537
CCCCC,0.00231382679995507,0.00543509852932628,-0.0031212717293712102,0.0031212717293712102
CCD,0.0102102641204586,0.00711464746195841,0.00309561665850019,0.00309561665850019
CDD,0.013464084554451,0.0106574515042397,0.0028066330502112997,0.0028066330502112997
FFFFF,0.0,0.0027902110097076,-0.0027902110097076,0.0027902110097076
DCC,0.00866189439669681,0.00589499361133697,0.0027669007853598406,0.0027669007853598406
HHC,0.00125664789174876,0.00377511906144732,-0.00251847116969856,0.00251847116969856
BBBB,0.02063360201172,0.0181865721507219,0.0024470298609981025,0.0024470298609981025
BCB,0.00464510917128559,0.00232315019165989,0.0023219589796256994,0.0023219589796256994
DCB,0.00475730987590602,0.00246834707863863,0.00228896279726739,0.00228896279726739
BCC,0.00850481341022821,0.0062725055174817,0.0022323078927465106,0.0022323078927465106
CDDC,0.00388423628729877,0.00165596583481014,0.00222827045248863,0.00222827045248863
DDC,0.0119605951125373,0.00987338831455453,0.0020872067979827696,0.0020872067979827696
EEE,0.00271525705181428,0.00479149727029852,-0.0020762402184842403,0.0020762402184842403
DHH,0.00103224648250791,0.00302009524915785,-0.00198784876664994,0.00198784876664994
CBBB,0.00577022384876175,0.00383486824903402,0.0019353555997277299,0.0019353555997277299
DBB,0.00814577115544285,0.00624346614008595,0.0019023050153569006,0.0019023050153569006
CBBC,0.00339028716405846,0.00151070567386188,0.0018795814901965801,0.0018795814901965801
CHH,0.00085272535511523,0.00272970147520037,-0.00187697612008514,0.00187697612008514
FFFFFF,0.0,0.00180279724346486,-0.00180279724346486,0.00180279724346486
CCBB,0.00460270773928467,0.00281804712239621,0.00178466061688846,0.00178466061688846
CCCCCC,0.00125868153109617,0.00302404698903783,-0.0017653654579416597,0.0017653654579416597
BCDC,0.00188598756146298,0.00017431219313791,0.00171167536832507,0.00171167536832507
HHHC,0.000853184849233256,0.00255657883268934,-0.001703393983456084,0.001703393983456084
DDE,0.00619347889504746,0.00450110349634103,0.0016923753987064302,0.0016923753987064302
CDCC,0.00267181571207256,0.00113302925539641,0.00153878645667615,0.00153878645667615
CDCB,0.00163901299984283,0.00017431219313791,0.00146470080670492,0.00146470080670492
GGG,0.00258061620626977,0.00119061447322569,0.00139000173304408,0.00139000173304408
CBCD,0.0018186308628393,0.000435780482844775,0.001382850379994525,0.001382850379994525
ECB,0.00267037676996611,0.00130677198280868,0.00136360478715743,0.00136360478715743
CBD,0.00258061620626977,0.00121965385062144,0.0013609623556483299,0.0013609623556483299
CCDC,0.00269426794494712,0.00133639348072397,0.00135787446422315,0.00135787446422315
BCF,0.00352310212508134,0.00220699268207689,0.0013161094430044502,0.0013161094430044502
ECC,0.003433341561385,0.00473341851550702,-0.0013000769541220204,0.0013000769541220204
DEC,0.00219913381056033,0.000900220699268207,0.0012989131112921232,0.0012989131112921232
DHHH,0.00069601921911134,0.00197553818889631,-0.0012795189697849697,0.0012795189697849697
FCD,0.00237865493795301,0.00110349634103844,0.00127515859691457,0.00127515859691457
CDE,0.00188497183762314,0.000609826925310721,0.001275144912312419,0.001275144912312419
BBBC,0.00603965064325647,0.00476453327910287,0.0012751173641536006,0.0012751173641536006
DCCB,0.00208805765733402,0.000813456901310246,0.001274600756023774,0.001274600756023774
DDDDDDD,0.00434029729912069,0.00561438212706539,-0.0012740848279446998,0.0012740848279446998
HHHHC,0.000651465798045602,0.00191827006917398,-0.001266804271128378,0.001266804271128378
DCD,0.00379238381617036,0.00255546521082588,0.0012369186053444799,0.0012369186053444799
CCBC,0.00235748445182873,0.00113302925539641,0.0012244551964323202,0.0012244551964323202
CDB,0.00284989789735879,0.00162620513416192,0.0012236927631968698,0.0012236927631968698
CCCB,0.00289633804081815,0.00168501786699979,0.0012113201738183602,0.0012113201738183602
BCBB,0.00197579649296122,0.000784404869120595,0.0011913916238406252,0.0011913916238406252
FCB,0.00323138029306824,0.00206179579509815,0.00116958449797009,0.00116958449797009
DDDDDD,0.00681036614146681,0.00796720072111889,-0.0011568345796520796,0.0011568345796520796
DBBB,0.00390668852017333,0.0027599430580169,0.0011467454621564301,0.0011467454621564301
CFCC,0.00186353532858842,0.000726300804741291,0.001137234523847129,0.001137234523847129
BBCD,0.00255955454769976,0.00142354957729293,0.0011360049704068301,0.0011360049704068301
CFD,0.00170545071023046,0.000580787547914972,0.001124663162315488,0.001124663162315488
DBBBB,0.00215657643490958,0.00107539382665814,0.00108118260825144,0.00108118260825144
CHHH,0.000516401356114865,0.00156880973824119,-0.0010524083821263248,0.0010524083821263248
BGG,0.00114444718712833,0.000116157509582994,0.001028289677545336,0.001028289677545336
GGC,0.0013464084554451,0.000319433151353235,0.0010269753040918648,0.0010269753040918648
BBCB,0.00197579649296122,0.000958717062258505,0.0010170794307027152,0.0010170794307027152
DHHHH,0.00047175109513647,0.00148229959890716,-0.00101054850377069,0.00101054850377069
BBD,0.0076296479141889,0.00662097804623068,0.0010086698679582194,0.0010086698679582194
BBE,0.00428606691650023,0.00328144964571959,0.0010046172707806398,0.0010046172707806398
FCC,0.00424118663465206,0.00325241026832384,0.0009887763663282202,0.0009887763663282202
GBB,0.00098736620065974,0.0,0.00098736620065974,0.00098736620065974
CBCC,0.00208805765733402,0.00110397722320676,0.00098408043412726,0.00098408043412726
HHHHHC,0.000427052662336202,0.00139571399494053,-0.000968661332604328,0.000968661332604328
EFF,0.00114444718712833,0.0020908351724939,-0.0009463879853655699,0.0009463879853655699
CDDCC,0.00132539593395484,0.000406905772249026,0.000918490161705814,0.000918490161705814
ECCC,0.0007184714519859,0.00162691380262049,-0.00090844235063459,0.00090844235063459
DEB,0.00157080986468595,0.000667905680102218,0.000902904184583732,0.000902904184583732
CBBCC,0.00132539593395484,0.000435970470266813,0.0008894254636880269,0.0008894254636880269
BBCC,0.00449044657491187,0.0036024519915168,0.0008879945833950701,0.0008879945833950701
FFE,0.00062832394587438,0.00151004762457892,-0.0008817236787045401,0.0008817236787045401
BBBBB,0.0107604178366842,0.00988199732604778,0.0008784205106364198,0.0008784205106364198
BCCD,0.0021554143559577,0.00127828941634467,0.0008771249396130299,0.0008771249396130299
CDCD,0.00116751610947708,0.000290520321896516,0.0008769957875805639,0.0008769957875805639
HHD,0.00080784507326706,0.00168428388895342,-0.0008764388156863599,0.0008764388156863599
HHE,0.000471242959405785,0.00133581136020443,-0.0008645684007986449,0.0008645684007986449
DDD,0.0363754684379417,0.0355151585550005,0.0008603098829411959,0.0008603098829411959
EEEE,0.000785828150609578,0.00162691380262049,-0.000841085652010912,0.000841085652010912
DDB,0.00704620425016269,0.0062144267626902,0.00083177748747249,0.00083177748747249
HHF,0.000426362677557615,0.00124869322801719,-0.0008223305504595749,0.0008223305504595749
CCBBB,0.00204425474559137,0.00124978201476486,0.00079447273082651,0.00079447273082651
CFF,0.00237865493795301,0.0031652921361366,-0.00078663719818359,0.00078663719818359
BBG,0.000785404932342975,0.0,0.000785404932342975,0.000785404932342975
HCC,0.0004488028184817,0.00121965385062144,-0.00077085103213974,0.00077085103213974
CFFF,0.00033678349311839,0.00110397722320676,-0.0007671937300883701,0.0007671937300883701
FHH,0.00062832394587438,0.00139389011499593,-0.00076556616912155,0.00076556616912155
DCF,0.00154836972376186,0.000784063189685213,0.0007643065340766471,0.0007643065340766471
CBBBC,0.00132539593395484,0.000581293960355751,0.000744101973599089,0.000744101973599089
FFFC,0.000651114753362221,0.00139449754510328,-0.000743382791741059,0.000743382791741059
EFFF,0.000246974561620153,0.000987769094448156,-0.000740794532828003,0.000740794532828003
DCE,0.003433341561385,0.00270066209780462,0.0007326794635803802,0.0007326794635803802
CCDD,0.00413121084891892,0.00339908776618924,0.0007321230827296802,0.0007321230827296802
BBBBD,0.00186454004268224,0.00113352322269371,0.0007310168199885299,0.0007310168199885299
DCBB,0.00208805765733402,0.00136544551291362,0.0007226121444204,0.0007226121444204
DDH,0.000650764086798465,0.00136485073760018,-0.0007140866508017151,0.0007140866508017151
BBBD,0.00361480949280405,0.00290520321896516,0.0007096062738388897,0.0007096062738388897
CBCB,0.00134713397247356,0.000639144708172336,0.0007079892643012239,0.0007079892643012239
EBB,0.00460022888943742,0.00392031594842606,0.0006799129410113604,0.0006799129410113604
BCBC,0.00134713397247356,0.000668196740361988,0.0006789372321115719,0.0006789372321115719
CCFC,0.00175127416421563,0.00107492519101711,0.00067634897319852,0.00067634897319852
DHHHHH,0.000314670382774044,0.000988630746416213,-0.000673960363642169,0.000673960363642169
CBCDC,0.000673930135909244,0.0,0.000673930135909244,0.000673930135909244
